"Transaction Id","Parent Id","Type","Date","Amount","Note","Name","Location","Primary Bank","Secondary Bank","Pending"
"0","","INCOME_EARN","2018-10-01","$1,000.00","Working at my parent's chicken farm","CF Farm","Mount Vernon TX","First National Bank of Mount Vernon - Personal Checking","","false"
"1","","INCOME_EARN","2018-10-01","$445.43","Part-time grocery stocker","Brookshire's Grocery Company","Mount Vernon TX","First National Bank of Mount Vernon - Personal Checking","","false"
"2","","SHOP_ELECTRONICS","2018-10-01","-$1,120.53","Desktop XPS, Monitor, Speaker","Dell Computer Corporation","Round Rock TX","First National Bank of Mount Vernon - Personal Checking","","false"
"3","","DINING","2018-10-01","-$2.14","Snacks","Northeast Texas Community College","Mount Pleasant TX","First National Bank of Mount Vernon - Personal Checking","","false"
"4","","CAR_GAS_TOLL","2018-10-01","-$45.54","Commute to work and school","Brookshire's Grocery Company","Mount Vernon TX","First National Bank of Mount Vernon - Personal Checking","","false"
"5","","INCOME_EARN","2018-11-01","$600.73","Part-time grocery stocker","Brookshire's Grocery Company","Mount Vernon TX","First National Bank of Mount Vernon - Personal Checking","","false"
"6","","SHOP_OTHER","2018-11-01","-$37.99","Unknown stuff","Brookshire's Grocery Company","Mount Vernon TX","First National Bank of Mount Vernon - Personal Checking","","false"
"7","","CAR_GAS_TOLL","2018-11-01","-$119.95","Commute to work and school","Brookshire's Grocery Company","Mount Vernon TX","First National Bank of Mount Vernon - Personal Checking","","false"
"8","","INCOME_EARN","2018-12-01","$601.08","Part-time grocery stocker","Brookshire's Grocery Company","Mount Vernon TX","First National Bank of Mount Vernon - Personal Checking","","false"
"9","","SHOP_OTHER","2018-12-01","-$181.04","Unknown stuff","Brookshire's Grocery Company","Mount Vernon TX","First National Bank of Mount Vernon - Personal Checking","","false"
"10","","DINING","2018-12-01","-$9.35","Snacks","Northeast Texas Community College","Mount Pleasant TX","First National Bank of Mount Vernon - Personal Checking","","false"
"11","","CAR_GAS_TOLL","2018-12-01","-$97.69","Commute to work and school","Brookshire's Grocery Company","Mount Vernon TX","First National Bank of Mount Vernon - Personal Checking","","false"
"12","","ENTERTAINMENT","2018-12-01","-$14.00","Movie tickets","Mount Pleasant Cinemar 6","Mount Pleasant TX","First National Bank of Mount Vernon - Personal Checking","","false"
"13","","INCOME_EARN","2019-01-01","$861.61","Part-time grocery stocker","Brookshire's Grocery Company","Mount Vernon TX","First National Bank of Mount Vernon - Personal Checking","","false"
"14","","SHOP_OTHER","2019-01-01","-$400.00","Tennis stuff","Dick's Sport","Longview TX","First National Bank of Mount Vernon - Personal Checking","","false"
"15","","SHOP_OTHER","2019-01-01","-$395.62","Unknown stuff","Brookshire's Grocery Company","Mount Vernon TX","First National Bank of Mount Vernon - Personal Checking","","false"
"16","","EDUCATION","2019-01-01","-$774.76","College tuition","Northeast Texas Community College","Mount Pleasant TX","First National Bank of Mount Vernon - Personal Checking","","false"
"17","","DINING","2019-01-01","-$23.14","Snacks","Northeast Texas Community College","Mount Pleasant TX","First National Bank of Mount Vernon - Personal Checking","","false"
"18","","CAR_GAS_TOLL","2019-01-01","-$109.60","Commute to work and school","Brookshire's Grocery Company","Mount Vernon TX","First National Bank of Mount Vernon - Personal Checking","","false"
"19","","ENTERTAINMENT","2019-01-01","-$19.00","Movie tickets","Mount Pleasant Cinemar 6","Mount Pleasant TX","First National Bank of Mount Vernon - Personal Checking","","false"
"20","","INCOME_EARN","2019-02-01","$606.36","Part-time grocery stocker","Brookshire's Grocery Company","Mount Vernon TX","First National Bank of Mount Vernon - Personal Checking","","false"
"21","","CHARITY","2019-02-01","-$361.05","Vietnamese Tet gifts for Hang Dang and Lien Dang","Walmart","Mount Pleasant TX","First National Bank of Mount Vernon - Personal Checking","","false"
"22","","EDUCATION","2019-02-01","$51.97","College tuition","Northeast Texas Community College","Mount Pleasant TX","First National Bank of Mount Vernon - Personal Checking","","false"
"23","","DINING","2019-02-01","-$38.95","Snacks","Northeast Texas Community College","Mount Pleasant TX","First National Bank of Mount Vernon - Personal Checking","","false"
"24","","CAR_GAS_TOLL","2019-02-01","-$124.81","Commute to work and school","Brookshire's Grocery Company","Mount Vernon TX","First National Bank of Mount Vernon - Personal Checking","","false"
"25","","ENTERTAINMENT","2019-02-01","-$16.00","Movie tickets","Mount Pleasant Cinemar 6","Mount Pleasant TX","First National Bank of Mount Vernon - Personal Checking","","false"
"26","","HEALTH_DOCTOR","2019-02-01","-$157.00","Primary Care, Eczema Treatment","Michael A. Walker, DO","Mount Vernon TX","First National Bank of Mount Vernon - Personal Checking","","false"
